Clas_1,Clas_2,Codi_Contaminant,Estacio,Latitud,Longitud,_id,codi_dtes,codi_eoi,district,neighborhood,nom_cabina,ubicacio,zqa
Urbana,Fons,8,4,41.4039,2.2045,Row(oid='6671bf5ded9c201d916140b8'),I2,8019004,Sant Martí,El Poblenou,Barcelona - Poblenou,Plaça Josep Trueta (Pujades - Lope de Vega),1
Urbana,Trànsit,6,44,41.3987,2.1534,Row(oid='6671bf5ded9c201d916140b9'),IJ,8019044,Gràcia,Vila de Gràcia,Barcelona - Gràcia,Plaça Gal·la Placídia (Via Augusta - Travessera de Gràcia),1
Urbana,Fons,12,57,41.3875,2.1151,Row(oid='6671bf5ded9c201d916140ba'),IZ,8019057,Les Corts,Pedralbes,Barcelona - Palau Reial,c/ John Maynard Keynes - c/ de Jordi Girona,1
Urbana,Fons,10,4,41.4039,2.2045,Row(oid='6671bf5ded9c201d916140bb'),I2,8019004,Sant Martí,El Poblenou,Barcelona - Poblenou,Plaça Josep Trueta (Pujades - Lope de Vega),1
Urbana,Fons,8,42,41.3788,2.1331,Row(oid='6671bf5ded9c201d916140bc'),ID,8019042,Sants-Montjuïc,Sants,Barcelona - Sants,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),1
Urbana,Trànsit,12,44,41.3987,2.1534,Row(oid='6671bf5ded9c201d916140bd'),IJ,8019044,Gràcia,Vila de Gràcia,Barcelona - Gràcia,Plaça Gal·la Placídia (Via Augusta - Travessera de Gràcia),1
Urbana,Fons,8,57,41.3875,2.1151,Row(oid='6671bf5ded9c201d916140be'),IZ,8019057,Les Corts,Pedralbes,Barcelona - Palau Reial,c/ John Maynard Keynes - c/ de Jordi Girona,1
Urbana,Fons,7,57,41.3875,2.1151,Row(oid='6671bf5ded9c201d916140bf'),IZ,8019057,Les Corts,Pedralbes,Barcelona - Palau Reial,c/ John Maynard Keynes - c/ de Jordi Girona,1
Urbana,Fons,12,4,41.4039,2.2045,Row(oid='6671bf5ded9c201d916140c0'),I2,8019004,Sant Martí,El Poblenou,Barcelona - Poblenou,Plaça Josep Trueta (Pujades - Lope de Vega),1
Urbana,Fons,7,4,41.4039,2.2045,Row(oid='6671bf5ded9c201d916140c1'),I2,8019004,Sant Martí,El Poblenou,Barcelona - Poblenou,Plaça Josep Trueta (Pujades - Lope de Vega),1
Urbana,Fons,7,42,41.3788,2.1331,Row(oid='6671bf5ded9c201d916140c2'),ID,8019042,Sants-Montjuïc,Sants,Barcelona - Sants,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),1
Urbana,Trànsit,1,44,41.3987,2.1534,Row(oid='6671bf5ded9c201d916140c3'),IJ,8019044,Gràcia,Vila de Gràcia,Barcelona - Gràcia,Plaça Gal·la Placídia (Via Augusta - Travessera de Gràcia),1
