RFD,_id,district,neighborhood,pop,year
89.1,Row(oid='6671bf46ed9c201d9160f222'),Horta-Guinardó,Vall d'Hebron,5580,2011
190.7,Row(oid='6671bf46ed9c201d9160f223'),Sarrià-Sant Gervasi,Sant Gervasi – la Bonanova,24432,2011
95.9,Row(oid='6671bf46ed9c201d9160f224'),Eixample,Sant Antoni,38130,2011
89.9,Row(oid='6671bf46ed9c201d9160f225'),Horta-Guinardó,El Baix Guinardó,25972,2011
50.8,Row(oid='6671bf46ed9c201d9160f226'),Sant Andreu,Baró de Viver,2343,2011
151.7,Row(oid='6671bf46ed9c201d9160f227'),Eixample,Dreta de l'Eixample,43206,2011
85.8,Row(oid='6671bf46ed9c201d9160f228'),Horta-Guinardó,El Guinardó,35673,2011
53.0,Row(oid='6671bf46ed9c201d9160f229'),Sants-Montjuïc,La Marina del Prat Vermell,1065,2011
65.0,Row(oid='6671bf46ed9c201d9160f22a'),Sant Martí,Sant Martí de Provençals,26178,2011
76.1,Row(oid='6671bf46ed9c201d9160f22b'),Sants-Montjuïc,Hostafrancs,15955,2011
121.3,Row(oid='6671bf46ed9c201d9160f22c'),Eixample,L'Antiga Esquerra de l'Eixample,41653,2011
90.9,Row(oid='6671bf46ed9c201d9160f22d'),Sant Martí,El Parc i la Llacuna del Poblenou,13772,2011
72.3,Row(oid='6671bf46ed9c201d9160f22e'),Nou Barris,Vilapicina i la Torre Llobeta,25515,2011
98.8,Row(oid='6671bf46ed9c201d9160f22f'),Ciutat Vella,Gothic Quarter,17257,2011
53.2,Row(oid='6671bf46ed9c201d9160f230'),Nou Barris,Vallbona,1381,2011
98.2,Row(oid='6671bf46ed9c201d9160f231'),Gràcia,Camp d'en Grassot i Gràcia Nova,34497,2011
246.0,Row(oid='6671bf46ed9c201d9160f232'),Les Corts,Pedralbes,11629,2011
81.2,Row(oid='6671bf46ed9c201d9160f233'),Horta-Guinardó,Sant Genís dels Agudells,6977,2011
78.0,Row(oid='6671bf46ed9c201d9160f234'),Sant Andreu,Sant Andreu de Palomar,55902,2011
