,municipality,has360,priceByArea,parkingSpace,propertyCode,hasLift,operation,country,distance,exterior,longitude,rooms,hasStaging,address,district,has3DTour,bathrooms,externalReference,topNewDevelopment,price,neighborhood,hasVideo,detailedType,numPhotos,thumbnail,size,url,newDevelopmentFinished,newDevelopment,latitude,propertyType,floor,status,suggestedTexts,showAddress,province,hasPlan,di_re,di
0,Barcelona,True,7284.0,,91658993,True,sale,es,859,True,2.1322432,3,False,barrio Sant Gervasi - La Bonanova,Sarrià-Sant Gervasi,True,2,019280,False,845000.0,Sant Gervasi - La Bonanova,False,"Row(subTypology=None, typology='flat')",27,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c0/2a/b5/820119045.jpg,116.0,https://www.idealista.com/inmueble/91658993/,,False,41.4022298,flat,en,good,"Row(subtitle='Sant Gervasi - La Bonanova, Barcelona', title='Piso')",False,Barcelona,True,,
1,Barcelona,False,5574.0,"Row(hasParkingSpace=True, isParkingSpaceIncludedInPrice=True)",89784716,True,sale,es,768,False,2.1295338,5,False,Calle de Calatrava,Sarrià-Sant Gervasi,False,2,019271,False,864000.0,Les Tres Torres,True,"Row(subTypology=None, typology='flat')",28,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/41/1e/b7/776472593.jpg,155.0,https://www.idealista.com/inmueble/89784716/,,False,41.4023503,flat,1,good,"Row(subtitle='Les Tres Torres, Barcelona', title='Piso en Calle de Calatrava')",False,Barcelona,True,,
2,Barcelona,True,6461.0,"Row(hasParkingSpace=True, isParkingSpaceIncludedInPrice=True)",92446224,True,sale,es,698,True,2.1227699,4,False,barrio Pedralbes,Les Corts,False,3,BCN26821,False,1150000.0,Pedralbes,False,"Row(subTypology=None, typology='flat')",32,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c8/68/88/839831002.jpg,178.0,https://www.idealista.com/inmueble/92446224/,,False,41.3901975,flat,,renew,"Row(subtitle='Pedralbes, Barcelona', title='Piso')",False,Barcelona,True,,
3,Barcelona,True,6087.0,"Row(hasParkingSpace=True, isParkingSpaceIncludedInPrice=True)",93082183,True,sale,es,338,True,2.1284422,3,False,Calle de Numància,Les Corts,False,2,VB2102073,False,840000.0,Les Corts,True,"Row(subTypology=None, typology='flat')",38,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/31/d5/cb/854034303.jpg,138.0,https://www.idealista.com/inmueble/93082183/,,False,41.3931779,flat,5,good,"Row(subtitle='Les Corts, Barcelona', title='Piso en Calle de Numància')",False,Barcelona,True,,
4,Barcelona,True,5593.0,"Row(hasParkingSpace=True, isParkingSpaceIncludedInPrice=True)",92984814,True,sale,es,558,True,2.1268549,5,False,Paseo de Manuel Girona,Sarrià-Sant Gervasi,False,3,VB2102046-1,False,990000.0,Sarrià,True,"Row(subTypology=None, typology='flat')",39,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c6/a1/ec/852507567.jpg,177.0,https://www.idealista.com/inmueble/92984814/,,False,41.3908184,flat,5,good,"Row(subtitle='Sarrià, Barcelona', title='Piso en Paseo de Manuel Girona')",False,Barcelona,True,,
5,Barcelona,True,6667.0,"Row(hasParkingSpace=True, isParkingSpaceIncludedInPrice=True)",90384893,True,sale,es,790,True,2.1308518,5,False,Calle de Ganduxer,Sarrià-Sant Gervasi,True,3,01840,False,1080000.0,Les Tres Torres,True,"Row(subTypology=None, typology='flat')",36,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/88/53/6a/843810011.jpg,162.0,https://www.idealista.com/inmueble/90384893/,,False,41.4021385,flat,2,good,"Row(subtitle='Les Tres Torres, Barcelona', title='Piso en Calle de Ganduxer')",False,Barcelona,True,,
6,Barcelona,True,5657.0,"Row(hasParkingSpace=True, isParkingSpaceIncludedInPrice=True)",92942545,True,sale,es,517,True,2.1264877,5,False,Paseo de Manuel Girona,Sarrià-Sant Gervasi,False,3,00068,False,990000.0,Sarrià,False,"Row(subTypology=None, typology='flat')",34,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/99/13/fb/853544822.jpg,175.0,https://www.idealista.com/inmueble/92942545/,,False,41.3911835,flat,5,renew,"Row(subtitle='Sarrià, Barcelona', title='Piso en Paseo de Manuel Girona')",False,Barcelona,True,,
7,Barcelona,True,6000.0,,92867335,True,sale,es,272,True,2.127285,5,False,Paseo de Manuel Girona,Les Corts,False,3,GV622,False,990000.0,Pedralbes,True,"Row(subTypology=None, typology='flat')",27,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e1/cf/ae/855823943.jpg,165.0,https://www.idealista.com/inmueble/92867335/,,False,41.3934623,flat,5,good,"Row(subtitle='Pedralbes, Barcelona', title='Piso en Paseo de Manuel Girona')",False,Barcelona,True,,
8,Barcelona,True,5500.0,"Row(hasParkingSpace=True, isParkingSpaceIncludedInPrice=True)",91474299,True,sale,es,666,True,2.1249908,4,False,Paseo de Manuel Girona,Les Corts,False,2,2546,False,990000.0,Pedralbes,False,"Row(subTypology=None, typology='flat')",31,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fc/f9/63/815432805.jpg,180.0,https://www.idealista.com/inmueble/91474299/,,False,41.3899426,flat,4,good,"Row(subtitle='Pedralbes, Barcelona', title='Piso en Paseo de Manuel Girona')",False,Barcelona,True,,
9,Barcelona,False,5000.0,,93207901,True,sale,es,800,False,2.1272273,5,False,Calle del Capità Arenas,Les Corts,True,3,9510,False,830000.0,Pedralbes,False,"Row(subTypology=None, typology='flat')",34,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6b/50/25/857010737.jpg,166.0,https://www.idealista.com/inmueble/93207901/,,False,41.3886633,flat,,good,"Row(subtitle='Pedralbes, Barcelona', title='Piso en Calle del Capità Arenas')",False,Barcelona,True,,
